launcher,rocket,frame,seconds
37,8,95,3.9166666666666665
37,9,101,4.166666666666667
37,10,107,4.416666666666667
37,11,113,4.666666666666667
37,12,119,4.916666666666667
37,13,125,5.166666666666667
37,14,131,5.416666666666667
37,15,137,5.666666666666667
37,16,143,5.916666666666667
37,17,149,6.166666666666667
37,18,155,6.416666666666667
37,19,161,6.666666666666667
37,20,167,6.916666666666667
37,21,173,7.166666666666667
37,22,179,7.416666666666667
37,23,185,7.666666666666667
37,24,191,7.916666666666667
38,1,54,2.2083333333333335
38,2,60,2.4583333333333335
38,3,66,2.7083333333333335
38,4,72,2.9583333333333335
38,5,78,3.2083333333333335
38,6,84,3.4583333333333335
38,7,90,3.7083333333333335
38,8,96,3.9583333333333335
38,9,102,4.208333333333333
38,10,108,4.458333333333333
38,11,114,4.708333333333333
38,12,120,4.958333333333333
38,13,126,5.208333333333333
38,14,132,5.458333333333333
38,15,138,5.708333333333333
38,16,144,5.958333333333333
38,17,150,6.208333333333333
38,18,156,6.458333333333333
38,19,162,6.708333333333333
38,20,168,6.958333333333333
38,21,174,7.208333333333333
38,22,180,7.458333333333333
38,23,186,7.708333333333333
38,24,192,7.958333333333333
39,1,54,2.2083333333333335
39,2,60,2.4583333333333335
39,3,66,2.7083333333333335
39,4,72,2.9583333333333335
39,5,78,3.2083333333333335
39,6,84,3.4583333333333335
39,7,90,3.7083333333333335
39,8,96,3.9583333333333335
39,9,102,4.208333333333333
39,10,108,4.458333333333333
39,11,114,4.708333333333333
39,12,120,4.958333333333333
39,13,126,5.208333333333333
39,14,132,5.458333333333333
39,15,138,5.708333333333333
39,16,144,5.958333333333333
39,17,150,6.208333333333333
39,18,156,6.458333333333333
39,19,162,6.708333333333333
39,20,168,6.958333333333333
39,21,174,7.208333333333333
39,22,180,7.458333333333333
39,23,186,7.708333333333333
39,24,192,7.958333333333333
40,1,54,2.2083333333333335
40,2,60,2.4583333333333335
40,3,66,2.7083333333333335
40,4,72,2.9583333333333335
40,5,78,3.2083333333333335
40,6,84,3.4583333333333335
40,7,90,3.7083333333333335
40,8,96,3.9583333333333335
40,9,102,4.208333333333333
40,10,108,4.458333333333333
40,11,114,4.708333333333333
40,12,120,4.958333333333333
40,13,126,5.208333333333333
40,14,132,5.458333333333333
40,15,138,5.708333333333333
40,16,144,5.958333333333333
40,17,150,6.208333333333333
40,18,156,6.458333333333333
40,19,162,6.708333333333333
40,20,168,6.958333333333333
40,21,174,7.208333333333333
40,22,180,7.458333333333333
40,23,186,7.708333333333333
40,24,192,7.958333333333333
41,1,55,2.25
41,2,61,2.5
41,3,67,2.75
41,4,73,3.0
41,5,79,3.25
41,6,85,3.5
41,7,91,3.75
41,8,97,4.0
41,9,103,4.25
41,10,109,4.5
41,11,115,4.75
41,12,121,5.0
41,13,127,5.25
41,14,133,5.5
41,15,139,5.75
41,16,145,6.0
41,17,151,6.25
41,18,157,6.5
41,19,163,6.75
41,20,169,7.0
41,21,175,7.25
41,22,181,7.5
41,23,187,7.75
41,24,193,8.0
42,1,55,2.25
42,2,61,2.5
42,3,67,2.75
42,4,73,3.0
42,5,79,3.25
42,6,85,3.5
42,7,91,3.75
42,8,97,4.0
42,9,103,4.25
42,10,109,4.5
42,11,115,4.75
42,12,121,5.0
42,13,127,5.25
42,14,133,5.5
42,15,139,5.75
42,16,145,6.0
42,17,151,6.25
42,18,157,6.5
42,19,163,6.75
42,20,169,7.0
42,21,175,7.25
42,22,181,7.5
42,23,187,7.75
42,24,193,8.0
43,1,57,2.3333333333333335
43,2,63,2.5833333333333335
43,3,69,2.8333333333333335
43,4,75,3.0833333333333335
43,5,81,3.3333333333333335
43,6,87,3.5833333333333335
43,7,93,3.8333333333333335
43,8,99,4.083333333333333
43,9,105,4.333333333333333
43,10,111,4.583333333333333
43,11,117,4.833333333333333
43,12,123,5.083333333333333
43,13,129,5.333333333333333
43,14,135,5.583333333333333
43,15,141,5.833333333333333
43,16,147,6.083333333333333
43,17,153,6.333333333333333
43,18,159,6.583333333333333
43,19,165,6.833333333333333
43,20,171,7.083333333333333
43,21,177,7.333333333333333
43,22,183,7.583333333333333
43,23,189,7.833333333333333
43,24,195,8.083333333333334
44,1,57,2.3333333333333335
44,2,63,2.5833333333333335
44,3,69,2.8333333333333335
44,4,75,3.0833333333333335
44,5,81,3.3333333333333335
44,6,87,3.5833333333333335
44,7,93,3.8333333333333335
44,8,99,4.083333333333333
44,9,105,4.333333333333333
44,10,111,4.583333333333333
44,11,117,4.833333333333333
44,12,123,5.083333333333333
44,13,129,5.333333333333333
44,14,135,5.583333333333333
44,15,141,5.833333333333333
44,16,147,6.083333333333333
44,17,153,6.333333333333333
44,18,159,6.583333333333333
44,19,165,6.833333333333333
44,20,171,7.083333333333333
44,21,177,7.333333333333333
44,22,183,7.583333333333333
44,23,189,7.833333333333333
44,24,195,8.083333333333334
45,1,57,2.3333333333333335
45,2,63,2.5833333333333335
45,3,69,2.8333333333333335
45,4,75,3.0833333333333335
45,5,81,3.3333333333333335
45,6,87,3.5833333333333335
45,7,93,3.8333333333333335
45,8,99,4.083333333333333
45,9,105,4.333333333333333
45,10,111,4.583333333333333
45,11,117,4.833333333333333
45,12,123,5.083333333333333
45,13,129,5.333333333333333
45,14,135,5.583333333333333
45,15,141,5.833333333333333
